listing_number,property_type,furnished,pets_allowed,backup_water,bedrooms,bathrooms,kitchen,lounge,dining_room,parking,garden,pool,garage,erf_size (m²),floor_area (m²),suburb,city,province,price_type,price (ZAR)
115602639,Commercial,No,No,No,1,2,1,1,1,5,5,0,5,166.84615384615384,185.0,De Waterkant,Cape Town,Western Cape,Per Month,37000.0
115754016,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,138.17241379310346,135.0,Cape Town City Centre,Cape Town,Western Cape,Per Month,16875.0
115552076,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,434.7142857142857,498.7959183673469,Woodstock,Cape Town,Western Cape,Per Month,130000.0
115598364,Industrial,Unknown,No,Unknown,2,2,1,0,0,4,0,0,0,350.48387096774195,300.0,Epping Industrial,Cape Town,Western Cape,Per Month,22500.0
115748734,Apartment / Flat,No,Yes,Unknown,2,2,1,1,1,2,1,0,1,354.0,84.0,Fresnaye,Cape Town,Western Cape,Per Month,34500.0
115674090,Commercial,No,No,Yes,1,2,1,1,1,5,5,0,5,190.0,190.0,Woodstock,Cape Town,Western Cape,Per Month,50000.0
115524436,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,78.66666666666667,81.0,Rondebosch,Cape Town,Western Cape,Per Month,14985.0
115800817,Industrial,Unknown,No,Unknown,2,2,1,0,0,0,0,0,0,354.0,200.0,Epping Industrial,Cape Town,Western Cape,Per Month,109060.0
106035283,Industrial,No,No,Unknown,2,2,1,0,0,0,0,0,0,472.875,438.0,Westlake,Cape Town,Western Cape,Per Month,43800.0
115753771,Industrial,No,No,Unknown,2,2,1,0,0,0,0,0,0,350.48387096774195,300.0,Epping Industrial,Cape Town,Western Cape,Per Month,20250.0
115799222,House,Yes,No,Unknown,3,2,1,1,1,2,2,0,2,399.5,270.0,Clifton,Cape Town,Western Cape,Per Month,80000.0
115504800,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,285.7,294.0,Observatory,Johannesburg,Gauteng,Per Month,38220.0
115499115,Industrial,Unknown,No,Unknown,2,2,1,0,0,4,0,0,0,590.5,972.0,Maitland,Cape Town,Western Cape,Per Month,63180.0
115639692,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,221.0,221.0,Cape Town City Centre,Cape Town,Western Cape,Per Month,55250.0
115494261,Industrial,Unknown,No,Unknown,2,1,1,0,0,4,0,0,0,604.5,602.25,Claremont,Cape Town,Western Cape,Per Month,143280.0
115626272,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,226.0,226.0,Cape Town City Centre,Cape Town,Western Cape,Per Month,56500.0
